Name,Region,Address,Contact,Curriculum
Lakshmi School,Tamil nadu,"Lakshmi School,Veerapanchan P. O., Karuppayurani, Madurai, Tamil Nadu - 625020 ","['0452-2429268', '0452-2429178']",ICSE
M.K.R. Ayya Nadar Jeyalakshmi Ammal English Medium School,Tamil nadu,"M.K.R. Ayya Nadar Jeyalakshmi Ammal English Medium School,144 A/1 Kamarajar Salai Teppakulam, Madurai, Tamil Nadu - 625009 ",['0452-2311589'],ICSE
S.D.A. English High School,Tamil nadu,"S.D.A. English High School,11/5 T. B. Road, Madurai, Tamil Nadu - 625010 ","['0452-2602163', '0452-2605962']",ICSE
Vikaasa School,Tamil nadu,"Vikaasa School,Ponnagaram Compound, Madurai, Tamil Nadu - 625016 ",['0452-2360055'],ICSE
Virudhunagar T.S.M. Manickam Nadar Janaki Ammal School,Tamil nadu,"Virudhunagar T.S.M. Manickam Nadar Janaki Ammal School,100 New Ramnad Road, Madurai, Tamil Nadu - 625009 ","['0452-2311748', '0452-2380715']",ICSE
Brindavan Public School,Tamil nadu,"Brindavan Public School,Wellington Bazar P. O. The, Coonoor, Nilgiris, Tamil Nadu - 643232 ",['0423-2230229'],ICSE
Crescent Castle Public School,Tamil nadu,"Crescent Castle Public School,159/b-1 Coonoor Road The, Ootacamund, Nilgiris, Tamil Nadu - 643001 ","['0423-2443538', '0423-3201917']",ICSE
Good Shepherd International School,Tamil nadu,"Good Shepherd International School,Good Shepherd Knowledge Village M. Palada P. O. The, Ootacamund, Nilgiris, Tamil Nadu - 643004 ",['tn016cisce.org'],ICSE
Holy Innocent High School,Tamil nadu,"Holy Innocent High School,P. O. Barracks The, Wellington, Nilgiris, Tamil Nadu - 643231 ","['0423-2230266', '0423-2202140']",ICSE
International Community School and Junior College,Tamil nadu,"International Community School and Junior College,Kotahall Road, Kotagiri, Nilgiris, Tamil Nadu - 643217 ",['www.internationalcommunityschool.org/'],ICSE
Mountain Home School & Junior College,Tamil nadu,"Mountain Home School & Junior College,P. O. Box #4 The, Coonoor, Nilgiris, Tamil Nadu - 643102 ",['0423-2206471'],ICSE
Nazareth Convent High School,Tamil nadu,"Nazareth Convent High School,The, Ootacamund, Nilgiris, Tamil Nadu - 643001 ","['0423-2443811', '0423-2446499']",ICSE
Riverside Public School,Tamil nadu,"Riverside Public School,San-Tri-Moo The, Kothagiri, Nilgiris, Tamil Nadu - 643217 ","['04266-274555', '04266-274666']",ICSE
St. Hilda's School,Tamil nadu,"St. Hilda's School,The, Ootacamund, Nilgiris, Tamil Nadu - 643001 ","['0423-2442540', '0423-2449960']",ICSE
St. Joseph's Boys High School,Tamil nadu,"St. Joseph's Boys High School,The, Coonoor, Nilgiris, Tamil Nadu - 643102 ","['0423-2230493', '0423-2239550']",ICSE
St. Jude's Public School & Junior College,Tamil nadu,"St. Jude's Public School & Junior College,P. O. Nihung Montfort The, Kotagiri, Nilgiris, Tamil Nadu - 643217 ","['04266-275501', '04266-275801']",ICSE
St. Thomas English High School,Tamil nadu,"St. Thomas English High School,Court Road P. O. Box #18 The, Gudalur, Nilgiris, Tamil Nadu - 643212 ","['04262-261462', '04262-264117']",ICSE
The Blue Mountains School,Tamil nadu,"The Blue Mountains School,Dil Khush Mahal The, Ootacamund, Nilgiris, Tamil Nadu - 643001 ",['0423-2444837'],ICSE
The Laidlaw Memorial School & Jr. College,Tamil nadu,"The Laidlaw Memorial School & Jr. College,Of St Georges ' Homes The, Ketti, Nilgiris, Tamil Nadu - 643215 ","['0423-2517774', '0423-2517778']",ICSE
National Academy School,Tamil nadu,"National Academy School,Pattinamkathan, Ramanathapuram, Tamil Nadu - 623503 ",['04567-230077'],ICSE
Deshayes Mount School,Tamil nadu,"Deshayes Mount School,Yercaud, Salem, Tamil Nadu - 636601 ","['04281-223228', '04281-223428']",ICSE
J. R. Cambridge School,Tamil nadu,"J. R. Cambridge School,Narayana Nagar, Salem, Tamil Nadu - 636015 ","['0427-2260215', '0427-2262115']",ICSE
Lotus AN. Venkatachalam Chettiar School,Tamil nadu,"Lotus AN. Venkatachalam Chettiar School,Thiruppattur Road, Devakottai, Sivaganga, Tamil Nadu - 630302 ",['04561-261510'],ICSE
Christ International School,Tamil nadu,"Christ International School,1626 Christ Bhavan Rahman Nagar First Street. Thanjavur, Thanjavur, Tamil Nadu - 613004 ",['04362242324'],ICSE
The Little Kingdom Senior School,Tamil nadu,"The Little Kingdom Senior School,Vedapuri Aranmanaiputhur, Theni, Tamil Nadu - 625531 ","['04546-329563', '04546-321011']",ICSE
James Memorial High School,Tamil nadu,"James Memorial High School,Prakasapuram Mukuperi P. O., Tuticorin, Thoothukudi, Tamil Nadu - 628616 ",['04639-277240'],ICSE
SDR School,Tamil nadu,"SDR School,2/50-A Ponnagaram Korampallam Post, Tuticorin, Thoothukudi, Tamil Nadu - 628101 ","['0461-6454545', '0461-6451904']",ICSE
The Vikasa School,Tamil nadu,"The Vikasa School,106 J/93, Millerpuram, Thoothukudi, Tamil Nadu - 628008 ","['0461-2310747', '0461-2310427']",ICSE
Aurobindo Public School,Tamil nadu,"Aurobindo Public School,' Gnana Niketan ' Fatima Nagar, Woriyur, Tiruchirappalli, Tamil Nadu - 620003 ",['0431-2760797'],ICSE
Brindavan Vidyalaya,Tamil nadu,"Brindavan Vidyalaya,Louis Nagar, Ambikapuram, Tiruchirappalli, Tamil Nadu - 620004 ","['0431-2447390', '0431-2447818']",ICSE
Kamakoti Vidyalaya,Tamil nadu,"Kamakoti Vidyalaya,Post Box #349, Sankaran Pillai Road, Tiruchirappalli, Tamil Nadu - 620002 ","['0431-2703955', '0431-2701817']",ICSE
S. D. A. High School,Tamil nadu,"S. D. A. High School,Panneerselvam Street, Subramaniapuram, Tiruchirappalli, Tamil Nadu - 620020 ",['0431-2422143'],ICSE
Seventh-day Adventist English High School,Tamil nadu,"Seventh-day Adventist English High School,43 Heber Road, Tiruchirapalli, Tiruchirappalli, Tamil Nadu - 620001 ",['0431-2462583'],ICSE
Vikaasa School,Tamil nadu,"Vikaasa School,Post Box #15, Ambasamudram, Tirunelveli, Tamil Nadu - 627401 ","['04634-250267', '04634-250253']",ICSE
AVS Central School,Tamil nadu,"AVS Central School,S. F. #309/3 5 Avs Gardens Eetiveerampalayam Village Perumanallur, Tiruppur, Tirupur, Tamil Nadu - 641666 ",['0421-2351333'],ICSE
Amazon International School,Tamil nadu,"Amazon International School,Meyyur Moongilthuraipattu Road, Tirvannamalai, Tiruvannamalai, Tamil Nadu - 606753 ",['09585540801'],ICSE
Bhagwan Mahaveer Dayaniketan Jain School,Tamil nadu,"Bhagwan Mahaveer Dayaniketan Jain School,Arihanth Nagar, Vellore, Tamil Nadu - 632006 ","['0416-22464694', '0416-2246494']",ICSE
Ida Scudder School,Tamil nadu,"Ida Scudder School,Kalinjur Main Road, Suthanthira Ponvizha Nagar, Church Colony, Viruthampattu, Viruthampet, Vellore, Tamil Nadu - 632006 ",['www.scudderschool.ac.in/'],ICSE
Shiksha Greenwoods School,Tamil nadu,"Shiksha Greenwoods School,NH 46, Bangalore - Chennai Highway, Pallikonda, Vellore, Tamil Nadu - 635809 ",['www.shikshaschools.in/'],ICSE
R J Mantra English School,Tamil nadu,"R J Mantra English School,Villipathiri To Chinnavallikulam Road Post Box #89 Virudhunagar, Virudhunagar, Tamil Nadu - 626001 ",['8903647789'],ICSE
Sruthi Vidhyodhaya,Tamil nadu,"Sruthi Vidhyodhaya,308 C2 Gnanagiri Road Rajiv Gandhi Nagar, Sivakasi, Virudhunagar, Tamil Nadu - 626189 ",['04562-220042'],ICSE
AL Madrasa Tus Saifiya Tul Burhaniyah,Telangana,"AL Madrasa Tus Saifiya Tul Burhaniyah,3-18-73/a Lalamiya Basti Pedda Kamela R. T. C. Colony, Secunderabad, Hyderabad, Telangana - 500015 ",['040-40146672'],ICSE
Chaitanya Vidyalaya,Telangana,"Chaitanya Vidyalaya,1-2-594 Domalguda, Hyderabad, Telangana - 500029 ","['040-65502579', '040-27631105']",ICSE
Gitanjali Devshala,Telangana,"Gitanjali Devshala,154 Sappers Lines, Secunderabad, Hyderabad, Telangana - 500003 ",['040-27908260'],ICSE
Gitanjali School,Telangana,"Gitanjali School,Begumpet, Hyderabad, Telangana - 500016 ","['040-27768395', '040-27768420']",ICSE
International School,Telangana,"International School,8-1-300/1 Shaikpet, Towli Chowki, Hyderabad, Telangana - 500008 ","['040-23561085', '040-23560983']",ICSE
Kalpa School,Telangana,"Kalpa School,8-2-589 Road #8, Banjara Hills, Hyderabad, Telangana - 500034 ","['040-23350164', '04023350020']",ICSE
Mukarram Jah School,Telangana,"Mukarram Jah School,Purani Haveli, Hyderabad, Telangana - 500002 ","['040-24564494', '040-24522184']",ICSE
Nalanda Public School,Telangana,"Nalanda Public School,12-2-712 Nanalnagar, Mehdipatnam, Hyderabad, Telangana - 500028 ","['09247074379', '09246366216']",ICSE
NASR School,Telangana,"NASR School,6-2-905 Khushnuma, Khairatabad, Hyderabad, Telangana ",['ap010cisce.org'],ICSE
Nasr School Boys,Telangana,"Nasr School Boys,1-72-4/4 Survey #47 Gachibowli, Serilingampally Mandal, Hyderabad, Telangana - 500032 ","['040-23001248', '040-23001884']",ICSE
Niraj Public School,Telangana,"Niraj Public School,6-3-864 Saadat Manzil, Ameerpet, Hyderabad, Telangana - 500016 ","['040-23413543', '040-55661486']",ICSE
Princess Esin Girls' School,Telangana,"Princess Esin Girls' School,Purani Haveli, Hyderabad, Telangana - 500002 ","['040-24574861', '040-65943549']",ICSE
Ramadevi Public School,Telangana,"Ramadevi Public School,Off N. H. - 9 Near Ramoji Film City, Hayatnagar, Hyderabad, Telangana - 501512 ","['040-30908048', '040-30908130']",ICSE
Sacred Heart Convent School,Telangana,"Sacred Heart Convent School,9-102/1 Chenna Reddy Layout Peerzadiguda Ranga Reddy District, Ranga Reddy Dist., Hyderabad, Telangana - 500098 ",['09505976270'],ICSE
Samaritan School,Telangana,"Samaritan School,37/93/56 Mathura Nagar R. K. Puram, Secunderabad, Hyderabad, Telangana - 500094 ",['040-27112513'],ICSE
Seventh Day Adventist High School,Telangana,"Seventh Day Adventist High School,Chapel Road, Hyderabad, Telangana - 500001 ",['040-23203611'],ICSE
Sherwood Public School,Telangana,"Sherwood Public School,Petbasheerabad Jeedimetla Village, Secunderabad, Hyderabad, Telangana - 500067 ",['040-64512584'],ICSE
Siva Sivani Public School,Telangana,"Siva Sivani Public School,Devar Yamjal Via Hakimpet, Secunderabad, Hyderabad, Telangana - 500014 ","['08418-248353', '08418-248552']",ICSE
Sri Aurobindo International School,Telangana,"Sri Aurobindo International School,2-2-4/1 Osmania University Road, Hyderabad, Telangana - 500044 ","['040-27098515', '040-27071012']",ICSE
Sri Sai Public School,Telangana,"Sri Sai Public School,8/25 Habsiguda, Hyderabad, Telangana - 500007 ","['040-27172691', '040-27152348']",ICSE
St. Joseph's School,Telangana,"St. Joseph's School,H. #8-11 Ravindranagar Colony, Habsiguda, Hyderabad, Telangana - 500007 ","['040-27175833', '040-27175835']",ICSE
Kalpa School,Telangana,"Kalpa School,8-2-589 Road #8, Banjara Hills, Hyderabad, Telangana - 500034 ","['040-23350164', '04023350020']",ICSE
Nalanda Public School,Telangana,"Nalanda Public School,12-2-712 Nanalnagar, Mehdipatnam, Hyderabad, Telangana - 500028 ","['09247074379', '09246366216']",ICSE
NASR School,Telangana,"NASR School,6-2-905 Khushnuma, Khairatabad, Hyderabad, Telangana ",['ap010cisce.org'],ICSE
Niraj Public School,Telangana,"Niraj Public School,6-3-864 Saadat Manzil, Ameerpet, Hyderabad, Telangana - 500016 ","['040-23413543', '040-55661486']",ICSE
The Noble School,Telangana,"The Noble School,80 Jubilee Hills Road #9, Road No. 9, Hyderabad, Telangana - 500033 ","['040-32513063', '040-23608120']",ICSE
St. Pious X School,Telangana,"St. Pious X School,Road #11 Alwal Hills, Secunderabad, Hyderabad, Telangana - 500010 ","['9492029320', '9502083384']",ICSE
Sri Sai Public School,Telangana,"Sri Sai Public School,8/25 Habsiguda, Hyderabad, Telangana - 500007 ","['040-27172691', '040-27152348']",ICSE
Siva Sivani Public School,Telangana,"Siva Sivani Public School,Devar Yamjal Via Hakimpet, Secunderabad, Hyderabad, Telangana - 500014 ","['08418-248353', '08418-248552']",ICSE
Sherwood Public School,Telangana,"Sherwood Public School,Petbasheerabad Jeedimetla Village, Secunderabad, Hyderabad, Telangana - 500067 ",['040-64512584'],ICSE
Ramadevi Public School,Telangana,"Ramadevi Public School,Off N. H. - 9 Near Ramoji Film City, Hayatnagar, Hyderabad, Telangana - 501512 ","['040-30908048', '040-30908130']",ICSE
Samaritan School,Telangana,"Samaritan School,37/93/56 Mathura Nagar R. K. Puram, Secunderabad, Hyderabad, Telangana - 500094 ",['040-27112513'],ICSE
Abhyasa Residential Public School,Telangana,"Abhyasa Residential Public School,Abhyasa Residential School, - 502 334, India, Toopran, Medak, Telangana - 502334 ",['1996'],ICSE
Sri Sai Public School,Telangana,"Sri Sai Public School,Muthangi P. O. Balaji Nagar Colony, Hyderabad, Medak, Telangana - 502300 ","['08455-242525', '08455-242507']",ICSE
Johnson Grammar School,Telangana,"Johnson Grammar School,H. #16/a Mallapur Road -500 076, Hyderabad, Ranga Reddy, Telangana ","['040-27173333', '07661046644']",ICSE
Sreenidhi International School,Telangana,"Sreenidhi International School,Survey Nos : 23-27 Aziz Nagar Village -500 075, Monabad Mandal, Ranga Reddy, Telangana ","['91-402335102', '040-23552362']",ICSE
St. Ann's High School,Telangana,"St. Ann's High School,Pet Basheerabad, Kompally, Ranga Reddy, Telangana - 500067 ",['04027165260'],ICSE
Sujatha School,Telangana,"Sujatha School,( Via ) C. B. I. T. Himayathnagar ( Village & Post ) -500 075, Moinabad Mandal, Ranga Reddy, Telangana ","['08413-235181', '08413-235180']",ICSE
Holy Cross Convent School,Tripura,"Holy Cross Convent School,The Head Post Office Dharmanagar Post Box #08, Post Box No. 08, North Tripura, Tripura - 799250 ",['03822-294757'],ICSE
Holy Cross School,Tripura,"Holy Cross School,Durjoynagar P. O., Agartala, West Tripura, Tripura - 799009 ","['0381-2342188', '0381-2342040']",ICSE
St. Paul's School,Tripura,"St. Paul's School,P. O. Arundhutinagar, Agartala, West Tripura, Tripura - 799003 ","['0381-2230232', '0381-2230229']",ICSE
Holman Institute,Uttar pradesh,"Holman Institute,R 2/1 M. G. Road Opposite To Collectrate, Agra, Uttar Pradesh - 282010 ","['08126783593', '09411627981']",ICSE
Ragendra Swarup Public School,Uttar pradesh,"Ragendra Swarup Public School,Sector 10 Avas Vikas, Sikandara Yojna, Agra, Uttar Pradesh - 282007 ","['0562-4051003', '0562-3267828']",ICSE
St. Anthony's Junior College,Uttar pradesh,"St. Anthony's Junior College,5 The Mall Road Cantt, Agra Cantt., Agra, Uttar Pradesh - 282001 ","['0562-2363335', '7388700532']",ICSE
St. Conrad's Inter College,Uttar pradesh,"St. Conrad's Inter College,Near Transport Nagar, N.H. - 2, Sikandara P. O, Agra, Uttar Pradesh - 282007 ",['conrads.in/'],ICSE
St. George's College,Uttar pradesh,"St. George's College,3, Garden Road Cantt, Agra Cantt., Agra, Uttar Pradesh - 282001 ",['1875'],ICSE
St. Mary's Convent School,Uttar pradesh,"St. Mary's Convent School,Shamshabad Road, Agra, Uttar Pradesh - 282001 ","['0562-2870312', '0562-2480301']",ICSE
St. Patrick's Junior College,Uttar pradesh,"St. Patrick's Junior College,Convent of Jesus & Mary, Wazirpura Road, Agra, Uttar Pradesh - 282003 ","['0562-2520107', '0562-2853848']",ICSE
St. Paul's Church College,Uttar pradesh,"St. Paul's Church College,Kandhari Road, Agra, Uttar Pradesh - 282002 ",['0562-2851605'],ICSE
St. Peter's College,Uttar pradesh,"St. Peter's College,Wazirpura Road, Agra, Uttar Pradesh - 282003 ",['0562-2852376'],ICSE
The Indian Heritage School,Uttar pradesh,"The Indian Heritage School,Akbarpur Shamshabad Road, Agra, Uttar Pradesh - 283125 ",[''],ICSE
Gagan Public School,Uttar pradesh,"Gagan Public School, Kalyan Puram,Agra Road, NH 93, Kalyan Puram, Aligarh, Uttar Pradesh - 202001 ",['schoolar.gagan.ac.in/'],ICSE
M. U. College,Uttar pradesh,"M. U. College,Behind University Medical College, Dhorra, Aligarh, Uttar Pradesh - 202002 ",['0571-2721745'],ICSE
Nurture International School,Uttar pradesh,"Nurture International School,Near P. A. C. Ramghat Road Aligarh, Aligarh, Uttar Pradesh - 202001 ",['05712781858'],ICSE
Pooja Public School,Uttar pradesh,"Pooja Public School,4/3 Avas Vikas Colony, Jail Road, Aligarh, Uttar Pradesh - 202001 ",['0571-2409862'],ICSE
SMT. Jaidevi Memorial Public School,Uttar pradesh,"SMT. Jaidevi Memorial Public School,Tika Ram Colony Naurangabad G. T. Road, G.t. Road, Aligarh, Uttar Pradesh - 202001 ","['0571-2762991', '0571-2761714']",ICSE
Vision Global School,Uttar pradesh,"Vision Global School,Shahpur Mandrak Aligarh-Agra Highway, Aligarh, Uttar Pradesh - 202150 ","['0571-6453507', '0571-2743655']",ICSE
Benhur High School,Uttar pradesh,"Benhur High School,Mak Town Karelabagh Main Noorullah Road, Allahabad, Uttar Pradesh - 211016 ",['0532-3206281'],ICSE
Bishop George School,Uttar pradesh,"Bishop George School,13 Kamla Nehru Road, Allahabad, Uttar Pradesh - 211001 ","['0532-2100247', '0532-2606155']",ICSE
Bishop Johnson School & College,Uttar pradesh,"Bishop Johnson School & College,9/23 M. G. Marg, Civil Lines, Allahabad, Uttar Pradesh - 211001 ","['0532-2560713', '0532-2560687']",ICSE
Boys' High School & College,Uttar pradesh,"Boys' High School & College,4 P. D. Tandon Road P. O. Box #4, Allahabad, Uttar Pradesh - 211001 ","['0532-2266582', '0532-2090416']",ICSE
Devprayag,Uttar pradesh,"Devprayag,Gaddopur, Phaphamau, Allahabad, Uttar Pradesh - 211013 ","['+917376788480', '0532-3297847']",ICSE
Ethel Higginbottom School,Uttar pradesh,"Ethel Higginbottom School,Agricultural Institute Deemed University Rewa Road, Naini, Allahabad, Uttar Pradesh - 211007 ",['0532-2684576'],ICSE
Girls' High School and College,Uttar pradesh,"Girls' High School and College,25 Elgin Road P. O. Box #3, Allahabad, Uttar Pradesh - 211001 ","['0532-2623340', '0532-2422219']",ICSE
I. P. E. M. International School,Uttar pradesh,"I. P. E. M. International School,112 A/1 S. P. Marg Civil Lines, Allahabad, Uttar Pradesh - 211001 ","['0532-3242068', '0532-2603011']",ICSE
Jumna Christian Junior High School,Uttar pradesh,"Jumna Christian Junior High School,535 Mutthiganj Allahabad, Allahabad, Uttar Pradesh - 211003 ",['0532-2413346'],ICSE
K.C. Convent Co-Education School,Uttar pradesh,"K.C. Convent Co-Education School,Sainik Colony New Road, Allahabad, Uttar Pradesh ","['07258386216', '09335106111']",ICSE
Mary Lucas School and College,Uttar pradesh,"Mary Lucas School and College,14, Kutchery Road, Allahabad, Uttar Pradesh - 211002 ",['www.marylucasschool.com/'],ICSE
St. John's Academy,Uttar pradesh,"St. John's Academy,Fairy Dale Estate Mirzapur Road, Karchana, Allahabad, Uttar Pradesh - 211008 ","['0532-3017750', '09838644077']",ICSE
St. John's Co-Education School,Uttar pradesh,"St. John's Co-Education School,558 R. K. Puram Naini, Allahabad, Uttar Pradesh - 221008 ",['0532-3256020'],ICSE
St. Joseph's College,Uttar pradesh,"St. Joseph's College,2 Tashkent Road, Near Nazreth Hospital, Allahabad, Uttar Pradesh - 211001 ",['1884'],ICSE
St. Mary's Convent Inter College,Uttar pradesh,"St. Mary's Convent Inter College,32 Thornhill Road, Allahabad, Uttar Pradesh - 211002 ",['0532-2600617'],ICSE
Unity Public School,Uttar pradesh,"Unity Public School,"" A "" Kareli, Allahabad, Uttar Pradesh - 211016 ",['0532-2551203'],ICSE
St. Peter's School,Uttar pradesh,"St. Peter's School,P. O. Akbarpur, Ambedkar Nagar, Uttar Pradesh - 224122 ",['05271-244226'],ICSE
Children College,Uttar pradesh,"Children College,Azamgarh, Uttar Pradesh - 276001 ","['05462-260363', '05462-260365']",ICSE
Jyoti Niketan,Uttar pradesh,"Jyoti Niketan,Atlas Tank, Azamgarh, Uttar Pradesh - 276001 ","['05462-246480', '05462-213480']",ICSE
Christu Jyothi Convent School,Uttar pradesh,"Christu Jyothi Convent School,Bagpat-250 611, Baraut, Baghpat, Uttar Pradesh ","['01234-262836', '09012503556']",ICSE
Christu Jyoti Convent School,Uttar pradesh,"Christu Jyoti Convent School,P. O. Bagpat-250 609, Baghpat, Uttar Pradesh - 250609 ",['0121-2221924'],ICSE
Assembly of God Church School,Uttar pradesh,"Assembly of God Church School,P. O. Rupaidiha, Bahraich, Uttar Pradesh - 271881 ","['05253-240681', '05253-240449']",ICSE
Barrows' Blue Bells School,Uttar pradesh,"Barrows' Blue Bells School,Civil Lines, Bahraich, Uttar Pradesh - 271801 ","['05252-232362', '05252-231614']",ICSE
Seventh Day Adventist Inter College,Uttar pradesh,"Seventh Day Adventist Inter College,6 Police Line Road, Bahraich, Uttar Pradesh - 271801 ",['05252-232570'],ICSE
St. Norbert's School,Uttar pradesh,"St. Norbert's School,Ameenpur Post Diha, Bahraich, Uttar Pradesh - 271801 ","['05252-232187', '05252-231350']",ICSE
St. Peter Inter College,Uttar pradesh,"St. Peter Inter College,Bhopatpur Nanpara P. O, Bahraich, Uttar Pradesh - 271865 ",['05253-232345'],ICSE
Casterbridge School,Uttar pradesh,"Casterbridge School,Piprouli Basantpur, Ballia, Uttar Pradesh - 277301 ",['05498-242376'],ICSE
Holy Cross School,Uttar pradesh,"Holy Cross School,Post Box #21, Ballia, Uttar Pradesh - 277001 ",['05498-220667'],ICSE
Sacred Heart School,Uttar pradesh,"Sacred Heart School,Saharaspali, Ballia, Uttar Pradesh - 277001 ",['www.sacredheartschoolballia.com/'],ICSE
St. Mary's School,Uttar pradesh,"St. Mary's School,Mariampur P. O. Athilapura, Rasra, Ballia, Uttar Pradesh - 221712 ","['05491-226109', '09452710577']",ICSE
Anand Bhawan School,Uttar pradesh,"Anand Bhawan School,Dewa Road, Barabanki, Uttar Pradesh - 225001 ",['05248-222580'],ICSE
Greenfield Academy,Uttar pradesh,"Greenfield Academy,Chandauli Deva Road, Na, Barabanki, Uttar Pradesh - 225125 ","['05248-291021', '+919415027745']",ICSE
King George Inter College,Uttar pradesh,"King George Inter College,Rajkamal Cinema Hall Road Peerbatawan, Barabanki, Uttar Pradesh - 225001 ",['09336583445'],ICSE
Assisi Convent School,Uttar pradesh,"Assisi Convent School,Narayan Nagla Road Mohammedpur Bypass, Baheri, Bareilly, Uttar Pradesh - 243201 ",['05822-222219'],ICSE
G. K. City Montessori School,Uttar pradesh,"G. K. City Montessori School,Karamchari Nagar, Izatnagar, Bareilly, Uttar Pradesh - 243122 ","['0581-2412665', '9897652593']",ICSE
Girish Prasad Memorial College,Uttar pradesh,"Girish Prasad Memorial College,56 Civil Lines, Bareilly, Uttar Pradesh - 243002 ",['0581-2576632'],ICSE
Hartmann College,Uttar pradesh,"Hartmann College,Izatnagar Post, Bareilly, Uttar Pradesh - 243122 ",['0581-2542202'],ICSE
Holy Family Convent School,Uttar pradesh,"Holy Family Convent School,Aonla P. O. Sangarampur ( Village ), Bareilly, Uttar Pradesh - 243301 ","['09359673237', '09359673238']",ICSE
St. Maria Goretti Inter College,Uttar pradesh,"St. Maria Goretti Inter College,62 Cantonment, Bareilly, Uttar Pradesh - 243001 ",['1950'],ICSE
St. Mary's Convent School,Uttar pradesh,"St. Mary's Convent School,176 Civil Lines, Station Road, Bareilly, Uttar Pradesh - 243001 ",['0581-2573185'],ICSE
St. Xavier's College,Uttar pradesh,"St. Xavier's College,Sainik Vihar Lal Phatak, Chanetha, Bareilly, Uttar Pradesh - 243001 ",['stxaviersbareilly.in/'],ICSE
St. Basil's High School,Uttar pradesh,"St. Basil's High School,Basil Nagar, Basti, Uttar Pradesh - 272001 ","['05542-283085', '05542-283835']",ICSE
Gurukul International Academy,Uttar pradesh,"Gurukul International Academy,Village Chandanpura Near Sugar Mill Pauri Highway -246-763, Najibabad, Bijnor, Uttar Pradesh ","['01341-296860', '9719198740']",ICSE
Littlewood Public School,Uttar pradesh,"Littlewood Public School,Dhampur Road Afzalgarh Bijnor, Bijnor, Uttar Pradesh - 246722 ",['01343-240448'],ICSE
St. Mary's School,Uttar pradesh,"St. Mary's School, Najibabad,Najibabad P.O, Bijnor, Uttar Pradesh - 246763 ",['www.bijnordiocese.com/'],ICSE
St. Mary's School,Uttar pradesh,"St. Mary's School, Prem Nagar,Prem Nagar, P. O., Bijnor, Uttar Pradesh - 246701 ",['www.bijnordiocese.com/'],ICSE
St. Mary's Senor Secondary School,Uttar pradesh,"St. Mary's Senor Secondary School, Nagina ,National Highway 74, Ghansulpur Amroli, Nagina P.O, Bijnor, Uttar Pradesh - 246762 ",['marysnagina.com/'],ICSE
St. Peter's School,Uttar pradesh,"St. Peter's School,Chittawar Road District, Kiratpur, Bijnor, Uttar Pradesh - 246731 ",['01341-240715'],ICSE
De Paul School,Uttar pradesh,"De Paul School,Dataganj Road, Budaun, Uttar Pradesh - 243601 ",['05832-224472'],ICSE
Vashishta St. Joseph's School,Uttar pradesh,"Vashishta St. Joseph's School,Bulandshahar-202 394, Jahangirabad, Bulandshahr, Uttar Pradesh - 202394 ",['057340-260497'],ICSE
St. John's School,Uttar pradesh,"St. John's School,Katsila Post Jagdisarai, Chandauli, Uttar Pradesh - 232104 ",['05412-212189'],ICSE
St. Mary's Convent School,Uttar pradesh,"St. Mary's Convent School,Hinauli Mughalsarai District, Varanasi, Chandauli, Uttar Pradesh - 232101 ",['9235443678'],ICSE
Jeevan Marg Sophia Secondary School,Uttar pradesh,"Jeevan Marg Sophia Secondary School,Sadar, Deoria Sadar, Deoria, Uttar Pradesh - 274001 ","['05568-222762', '05568-222768']",ICSE
Little Flower School,Uttar pradesh,"Little Flower School,Salempur, Deoria, Uttar Pradesh - 274509 ",['05566-220022'],ICSE
B.P.S. Public School,Uttar pradesh,"B.P.S. Public School,Vidhya Vihar Near Mandi Samiti G. T. Road, Etah, Uttar Pradesh - 207001 ","['05742-239385', '05742-295770']",ICSE
H. C. J. Academy,Uttar pradesh,"H. C. J. Academy,Januara Naka Deokali Bypass Near Parikrama Marg, Faizabad, Uttar Pradesh - 224001 ",['05278-212921'],ICSE
C. P. Vidya Niketan,Uttar pradesh,"C. P. Vidya Niketan,Kampil Road, Kaimganj, Farrukhabad, Uttar Pradesh - 207502 ",['05690-232123'],ICSE
Modern Public School,Uttar pradesh,"Modern Public School,5/93 Railway Road, Farrukhabad, Uttar Pradesh - 209625 ","['05692-222206', '05692-222029']",ICSE
Playway English School,Uttar pradesh,"Playway English School,111 Civil Lines, Fatehpur, Uttar Pradesh - 212601 ",['05240-225041'],ICSE
Rvs International School,Uttar pradesh,"Rvs International School,Ran Vijay Nagar Kewai-Banda Highway, Fatehpur, Uttar Pradesh - 212601 ",['9554956205'],ICSE
Christ The King School,Uttar pradesh,"Christ The King School,Gandhi Puram, Tundla, Firozabad, Uttar Pradesh - 283204 ",['05612-229230'],ICSE
St. Joseph's School,Uttar pradesh,"St. Joseph's School,Alpha I Pocket D, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh ",['0120-2326114'],ICSE
The Shriram Millennium School,Uttar pradesh,"The Shriram Millennium School,S-1 Sector 135, Noida, Gautam Buddha Nagar, Uttar Pradesh - 201309 ","['0120-3270894', '09999176666']",ICSE
Campus School,Uttar pradesh,"Campus School,Ansal's Avantika, Ghaziabad, Uttar Pradesh - 201002 ",['0575-4766422'],ICSE
Fatima Convent School,Uttar pradesh,"Fatima Convent School,Mariam Nagar, Meerut Road, Ghaziabad, Uttar Pradesh - 201003 ","['0120-4734847', '09871016377']",ICSE
